Symbol,Updated,Balance,Transaction,NumberOfShares,CurrentPrice,TradingAmount,Net Worth,Profit
,,,,,,,,
WFC,9/10/2020,24975,-,0,0,0,0,0
,,,,,,,,
WFC,9/10/2020,24975,HOLD,0,23.95,0,24975,0
,,,,,,,,
WFC,9/11/2020,24975,HOLD,0,24.19,0,24975,0
WFC,2020-09-11,24975.0,HOLD,0,24.27,0,24975.0,0.0
WFC,2020-09-14,24975.0,HOLD,0,24.81,0,24975.0,0.0
WFC,2020-09-15,24975.0,HOLD,0,24.88,0,24975.0,0.0
WFC,2020-09-16,24975.0,HOLD,0,25.71,0,24975.0,0.0
WFC,2020-09-17,24975.0,HOLD,0,25.11,0,24975.0,0.0
WFC,2020-09-18,24975.0,HOLD,0,25.13,0,24975.0,0.0
WFC,2020-09-21,24975.0,HOLD,0,24.04,0,24975.0,0.0
WFC,2020-09-22,24975.0,HOLD,0,23.65,0,24975.0,0.0
WFC,2020-09-23,24975.0,HOLD,0,22.83,0,24975.0,0.0
WFC,2020-09-24,24975.0,HOLD,0,23.32,0,24975.0,0.0
WFC,2020-09-25,24975.0,HOLD,0,23.64,0,24975.0,0.0
WFC,2020-09-28,24975.0,HOLD,0,23.82,0,24975.0,0.0
WFC,2020-09-29,24975.0,HOLD,0,23.26,0,24975.0,0.0
WFC,2020-09-30,24975.0,HOLD,0,23.51,0,24975.0,0.0
WFC,2020-10-01,24975.0,HOLD,0,23.56,0,24975.0,0.0
WFC,2020-10-02,24975.0,HOLD,0,23.68,0,24975.0,0.0

2020-10-27,WFC,HOLD,22.06,53628.28935776627,107302.7,53628.29
