Symbol,Name,,,,,,,
A,Agilent Technologies,98.47,95.86,97.93,"948,891",2.79,,2.93
AA,Alcoa Corp,14.4,14.05,14.1,"3,081,859",-0.13,,0.91
AAN,Aaron's Inc,55.8,53.95,55.15,"463,040",-0.14,,0.25
AAP,Advance Auto Parts Inc,155.7,152.6,154.4,"623,219",2.6,,1.73
AAT,American Assets Trust,26.12,25.24,25.3,"222,788",-0.37,,1.44
AB,Alliancebernstein Holding LP,27.39,26.87,27.18,"418,946",0.2,,0.74
ABB,Abb Ltd,26.47,26.18,26.39,"2,639,059",0.61,,2.37
ABBV,Abbvie Inc,92.43,90.51,91.63,"5,132,407",1.41,,1.56
ABC,Amerisourcebergen Corp,96.85,94.82,96.2,"801,777",0.84,,0.88
ABEV,Ambev S.A.,2.36,2.31,2.33,"17,787,142",0.01,,0.43
ABG,Asbury Automotive Group Inc,111.6,105.4,110.8,"220,603",3.2,,2.94
ABM,ABM Industries Incorporated,39.5,36.97,38.53,"715,824",1.88,,5.13
ABR,Arbor Realty Trust,11.74,11.41,11.65,"993,777",0.33,,2.92
ABR-A,Arbor Rlty TR Inc [Abr/Pa],25.28,25.05,25.1,"1,472",-0.16,,0.63
ABR-B,Arbor Rlty TR Inc [Abr/Pb],25.05,25.05,25.05,197,-0.2,,0.79
ABR-C,Arbor Rlty TR Inc [Abr/Pc],25.4,25.19,25.37,"3,280",-0.03,,0.12
ABT,Abbott Laboratories,106.9,104.1,105.8,"4,252,154",3,,2.89
AC,Associated Capital Group Inc,38,37.16,37.16,"14,056",-0.34,,0.91
ACA,Arcosa Inc,47.07,45.78,46.61,"346,064",0.02,,0.04
ACB,Aurora Cannabis Inc,7.99,7.4,7.65,"5,435,861",0.13,,1.73
ACC,American Campus Communities Inc,36.61,35.72,35.96,"1,231,883",0.22,,0.62
ACCO,Acco Brands Corp,6.51,6.21,6.21,"583,890",-0.19,,2.97
ACEL,Accel Entertainment Inc.,13.85,12.87,13.29,"676,910",0.56,,4.4
ACH,Aluminum Corp of China Ltd,6.06,6.02,6.03,"35,018",0.03,,0.5
ACI,Albertsons Companies Inc Cl A,13.95,13.31,13.88,"2,289,728",0.7,,5.31
ACM,Aecom Technology Corp,38.62,37.15,37.98,"1,488,468",0.71,,1.91
ACN,Accenture Plc,241.4,234.8,238.9,"1,625,998",6.3,,2.69
ACN.U,Ascendant Digital Acquisition Corp Cl A,10.4,10.28,10.4,"85,436",0.05,,0.43
ACP,Avenue Income Credit Strategies,10.4,10.25,10.36,"95,362",0.06,,0.58
ACRE,Ares Commercial Real Estate Cor,10.09,9.78,9.97,"218,895",0.23,,2.36
ACV,Allianzgi Diversified Income &,25.84,25.3,25.82,"80,505",0.68,,2.7
ADC,Agree Realty Corp,67.58,66.17,67.01,"323,293",1.17,,1.78
ADCT,Adc Therapeutics Sa,38.12,35,38,"56,073",1.91,,5.29
ADM,Archer Daniels Midland,46.34,45.47,46.05,"3,267,246",0.83,,1.84
ADNT,Adient Plc,18.47,17.58,18.24,"756,938",0.82,,4.71
ADS,Alliance Data Systems Corp,46.84,44.3,45.65,"1,185,376",-1.02,,2.19
ADSW,Advanced Disposal Services Inc,30.08,29.92,30.05,"667,648",0.04,,0.13
ADT,ADT Inc,10.88,10.39,10.72,"1,586,114",0.4,,3.88
ADX,Adams Diversified Equity Fund,16.39,16.14,16.3,"160,436",0.31,,1.94
AEB,Aegon N.V. Perp Cap Secs Floating Rate,24.76,24.5,24.76,"22,213",0.28,,1.14
